season,mnth,hr,holiday,weekday,workingday,weathersit,atemp,hum,windspeed,cnt,day
1,1,0,0,6,0,1,0.2879,0.81,0.0,16,01
1,1,1,0,6,0,1,0.2727,0.8,0.0,40,01
1,1,2,0,6,0,1,0.2727,0.8,0.0,32,01
1,1,3,0,6,0,1,0.2879,0.75,0.0,13,01
1,1,4,0,6,0,1,0.2879,0.75,0.0,1,01
1,1,5,0,6,0,2,0.2576,0.75,0.0896,1,01
1,1,6,0,6,0,1,0.2727,0.8,0.0,2,01
1,1,7,0,6,0,1,0.2576,0.86,0.0,3,01
1,1,8,0,6,0,1,0.2879,0.75,0.0,8,01
1,1,9,0,6,0,1,0.3485,0.76,0.0,14,01
1,1,10,0,6,0,1,0.3939,0.76,0.2537,36,01
1,1,11,0,6,0,1,0.3333,0.81,0.2836,56,01
1,1,12,0,6,0,1,0.4242,0.77,0.2836,84,01
1,1,13,0,6,0,2,0.4545,0.72,0.2985,94,01
1,1,14,0,6,0,2,0.4545,0.72,0.2836,106,01
1,1,15,0,6,0,2,0.4394,0.77,0.2985,110,01
1,1,16,0,6,0,2,0.4242,0.82,0.2985,93,01
1,1,17,0,6,0,2,0.4394,0.82,0.2836,67,01
1,1,18,0,6,0,3,0.4242,0.88,0.2537,35,01
1,1,19,0,6,0,3,0.4242,0.88,0.2537,37,01
1,1,20,0,6,0,2,0.4091,0.87,0.2537,36,01
1,1,21,0,6,0,2,0.4091,0.87,0.194,34,01
1,1,22,0,6,0,2,0.4091,0.94,0.2239,28,01
1,1,23,0,6,0,2,0.4545,0.88,0.2985,39,01
1,1,0,0,0,0,2,0.4545,0.88,0.2985,17,02
1,1,1,0,0,0,2,0.4394,0.94,0.2537,17,02
1,1,2,0,0,0,2,0.4242,1.0,0.2836,9,02
1,1,3,0,0,0,2,0.4545,0.94,0.194,6,02
1,1,4,0,0,0,2,0.4545,0.94,0.194,3,02
1,1,6,0,0,0,3,0.4242,0.77,0.2985,2,02
1,1,7,0,0,0,2,0.4091,0.76,0.194,1,02
1,1,8,0,0,0,3,0.4091,0.71,0.2239,8,02
1,1,9,0,0,0,2,0.3939,0.76,0.2239,20,02
1,1,10,0,0,0,2,0.3485,0.81,0.2239,53,02
1,1,11,0,0,0,2,0.3333,0.71,0.2537,70,02
1,1,12,0,0,0,2,0.3333,0.66,0.2985,93,02
1,1,13,0,0,0,2,0.3485,0.66,0.1343,75,02
1,1,14,0,0,0,3,0.3485,0.76,0.194,59,02
1,1,15,0,0,0,3,0.3333,0.81,0.1642,74,02
1,1,16,0,0,0,3,0.3333,0.71,0.1642,76,02
